city,model,year,season,tas_c
Chicago,GFDL-ESM4,1875,winter,-3.8982666666666668
Chicago,GFDL-ESM4,1876,summer,21.722933333333334
Chicago,GFDL-ESM4,1876,winter,-5.102366666666667
Chicago,GFDL-ESM4,1877,summer,20.2103
Chicago,GFDL-ESM4,1877,winter,-5.4523
Chicago,GFDL-ESM4,1878,summer,20.847333333333335
Chicago,GFDL-ESM4,1878,winter,-4.377833333333333
Chicago,GFDL-ESM4,1879,summer,21.791633333333333
Chicago,GFDL-ESM4,1879,winter,-2.6562333333333332
Chicago,GFDL-ESM4,1880,summer,21.39623333333333
Chicago,GFDL-ESM4,1880,winter,-1.5086000000000002
Chicago,GFDL-ESM4,1881,summer,19.765
Chicago,GFDL-ESM4,1881,winter,-1.0315
Chicago,GFDL-ESM4,1882,summer,19.741033333333334
Chicago,GFDL-ESM4,1882,winter,-2.3287666666666667
Chicago,GFDL-ESM4,1883,summer,20.292533333333335
Chicago,GFDL-ESM4,1883,winter,-0.1011666666666667
Chicago,GFDL-ESM4,1884,summer,18.847933333333334
Chicago,GFDL-ESM4,1884,winter,-5.907633333333334
Chicago,GFDL-ESM4,1885,summer,19.76816666666667
Chicago,GFDL-ESM4,1885,winter,-5.614133333333332
Chicago,GFDL-ESM4,1886,summer,20.5876
Chicago,GFDL-ESM4,1886,winter,-1.4646333333333335
Chicago,GFDL-ESM4,1887,summer,19.961266666666667
Chicago,GFDL-ESM4,1887,winter,-2.724833333333333
Chicago,GFDL-ESM4,1888,summer,20.4405
Chicago,GFDL-ESM4,1888,winter,-1.5694666666666668
Chicago,GFDL-ESM4,1889,summer,19.605066666666666
Chicago,GFDL-ESM4,1889,winter,-2.5348666666666664
Chicago,GFDL-ESM4,1890,summer,19.949866666666665
Chicago,GFDL-ESM4,1890,winter,-0.9806333333333331
Chicago,GFDL-ESM4,1891,summer,18.778499999999998
Chicago,GFDL-ESM4,1891,winter,-4.903733333333333
Chicago,GFDL-ESM4,1892,summer,19.214233333333336
Chicago,GFDL-ESM4,1892,winter,-5.318233333333333
Chicago,GFDL-ESM4,1893,summer,20.352433333333334
Chicago,GFDL-ESM4,1893,winter,-3.480066666666667
Chicago,GFDL-ESM4,1894,summer,19.699233333333336
Chicago,GFDL-ESM4,1894,winter,-1.9875666666666667
Chicago,GFDL-ESM4,1895,summer,20.460933333333333
Chicago,GFDL-ESM4,1895,winter,-4.953733333333333
Chicago,GFDL-ESM4,1896,summer,20.8973
Chicago,GFDL-ESM4,1896,winter,-2.4484
Chicago,GFDL-ESM4,1897,summer,21.034266666666667
Chicago,GFDL-ESM4,1897,winter,-4.489166666666667
Chicago,GFDL-ESM4,1898,summer,20.653166666666667
Chicago,GFDL-ESM4,1898,winter,-5.8598
Chicago,GFDL-ESM4,1899,summer,19.255666666666666
Chicago,GFDL-ESM4,1899,winter,-1.6533333333333333
Chicago,GFDL-ESM4,1900,summer,19.747233333333334
Chicago,GFDL-ESM4,1900,winter,-0.9428666666666666
Chicago,GFDL-ESM4,1901,summer,20.56983333333333
Chicago,GFDL-ESM4,1901,winter,-2.473133333333333
Chicago,GFDL-ESM4,1902,summer,21.355566666666665
Chicago,GFDL-ESM4,1902,winter,-2.4799666666666664
Chicago,GFDL-ESM4,1903,summer,18.891033333333333
Chicago,GFDL-ESM4,1903,winter,-4.227233333333333
Chicago,GFDL-ESM4,1904,summer,20.312933333333334
